フロントエンド,"https://www.youtube.com/watch?v=chX8I8kkhHw
https://www.youtube.com/watch?v=-4y7OmfF-t8"
バックエンド,"https://www.youtube.com/watch?v=493leWiaFyw
https://www.youtube.com/watch?v=HqvcmkFjVnw
https://www.youtube.com/watch?v=zq50JwOU_ls"
スマホ(ネイティブ)アプリエンジニア,"https://www.youtube.com/watch?v=OLY_xhmAcmE
https://www.youtube.com/watch?v=2KPLOpVUubU"
クラウドエンジニア,"https://www.youtube.com/watch?v=WS3F--ZbsDU
https://www.youtube.com/watch?v=PRWy7ikaG28
https://www.youtube.com/watch?v=99rD4B0QP0Q"
SRE,"https://www.youtube.com/watch?v=pVTCoWOFRi0
https://www.youtube.com/watch?v=chUu206F_AQ
https://www.youtube.com/watch?v=h7Svx-C64TE"
スクラムマスター,"https://www.youtube.com/watch?v=Jm3I6QXzjXw
https://www.youtube.com/watch?v=ktYpfWo_Fy0"
データサイエンティスト,"https://www.youtube.com/watch?v=7qWYyXr_aXI
https://www.youtube.com/watch?v=ctvvumV0psk"
データアナリスト,"https://www.youtube.com/watch?v=7qWYyXr_aXI
https://www.youtube.com/watch?v=FH4087uyvn8"
DWHエンジニア(データエンジニア),"https://www.youtube.com/watch?v=O1S5_BaoQQI
https://www.youtube.com/watch?v=mAuX_gzNwBs
https://www.youtube.com/watch?v=8wq3q-oTIU4"
IoTエンジニア,"https://www.youtube.com/watch?v=SPpL3OSPTLo
https://www.youtube.com/watch?v=HQz7GZQDLhc"
